--------- beginning of main
02-12 21:48:49.447 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:49.449 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:49.450 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:49.550 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:49.551 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:49.551 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:49.628 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:49.629 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:49.629 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:49.752 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:49.754 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:49.754 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:49.833 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
02-12 21:48:49.834 D/KeyboardManager( 5517): adjustPositionForKeyboard: keyboardTop=1345, safeZoneY=1008, statusBarHeight=74, minY=74
02-12 21:48:49.834 D/KeyboardManager( 5517): adjustPositionForKeyboard: FINAL - currentY=1008, safeZoneY=1008, newY=1008, willMove=false
02-12 21:48:49.933 D/KeyboardManager( 5517): adjustPositionForKeyboard: screenHeight=2340, keyboardHeight=995, buttonSize=135, margin=202
